Altium Designer Pick and Place Locations
C:\Projecten\DieBieMS\GitHub\Hardware\Project Outputs for DB10005_DieBieMS\Pick Place\Pick Place for DB10005_BMS(Production).csv

========================================================================================================================
File Design Information:

Date:       17-08-17
Time:       22:21
Revision:   Not in VersionControl
Variant:    Production
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D23_CELL3","PDZ7.5B","TopLayer","SOD-323","50.8000","-16.4000","90","Diode, Vrrm: 7.5V, If: 0.2A, Vf: 0.9V"
"D23_CELL4","PDZ7.5B","TopLayer","SOD-323","50.8000","-11.8000","90","Diode, Vrrm: 7.5V, If: 0.2A, Vf: 0.9V"
"D23_CELL5","PDZ7.5B","TopLayer","SOD-323","50.8000","-7.2000","90","Diode, Vrrm: 7.5V, If: 0.2A, Vf: 0.9V"
"D23_CELL6","PDZ7.5B","TopLayer","SOD-323","50.8000","-2.6000","90","Diode, Vrrm: 7.5V, If: 0.2A, Vf: 0.9V"
"D23_CELL7","PDZ7.5B","TopLayer","SOD-323","50.8000","2.0000","90","Diode, Vrrm: 7.5V, If: 0.2A, Vf: 0.9V"
"D23_CELL8","PDZ7.5B","TopLayer","SOD-323","50.8000","6.6000","90","Diode, Vrrm: 7.5V, If: 0.2A, Vf: 0.9V"
"D23_CELL9","PDZ7.5B","TopLayer","SOD-323","50.8000","11.2000","90","Diode, Vrrm: 7.5V, If: 0.2A, Vf: 0.9V"
"D23_CELL10","PDZ7.5B","TopLayer","SOD-323","50.8000","15.8000","90","Diode, Vrrm: 7.5V, If: 0.2A, Vf: 0.9V"
"D23_CELL11","PDZ7.5B","TopLayer","SOD-323","50.8000","20.4000","90","Diode, Vrrm: 7.5V, If: 0.2A, Vf: 0.9V"
"D23_CELL12","PDZ7.5B","TopLayer","SOD-323","50.8000","25.0000","90","Diode, Vrrm: 7.5V, If: 0.2A, Vf: 0.9V"
"L2","BLM18PG330SN1D","TopLayer","L0603","63.0000","12.5000","180","Ferrite Bead, Impedance:33ohm, DC Resistance Max:0.025ohm, DC Current Rating:3A"
"R12","10k","TopLayer","0402","87.2000","3.2000","90","Resistor, 10k, 0.1%, 0.0625W, 50V, 100PPM, 0402"
"R50","10k","TopLayer","0402","67.5000","-5.6000","180","Resistor, 10k, 0.1%, 0.0625W, 50V, 100PPM, 0402"
"R51","10k","TopLayer","0402","67.5000","-4.6000","180","Resistor, 10k, 0.1%, 0.0625W, 50V, 100PPM, 0402"
"R52","0R","TopLayer","0603","20.2000","-13.8000","90","Resistor, 0R, 0.1%, 0.063W, 50V, 200PPM, 0603"
"R53","10k","TopLayer","0402","82.1000","8.2000","270","Resistor, 10k, 0.1%, 0.0625W, 50V, 100PPM, 0402"
"R54","10k","TopLayer","0402","58.5000","-18.3000","270","Resistor, 10k, 0.1%, 0.0625W, 50V, 100PPM, 0402"
"R55","15R","TopLayer","0805","95.0000","27.5000","360","Resistor, 15R, 0.1%, 0.125W, 150V, 15PPM, 0805"
"R56","0R","TopLayer","0603","51.7000","-28.3000","180","Resistor, 0R, 0.1%, 0.063W, 50V, 200PPM, 0603"
"R57","1M","TopLayer","0402","67.5000","-1.6000","360","Resistor, 1M, 0.1%, 0.0625W, 50V, 100PPM, 0402"
"R58","1M","TopLayer","0402","67.5000","-0.6000","360","Resistor, 1M, 0.1%, 0.0625W, 50V, 100PPM, 0402"
"R59","1M","TopLayer","0402","67.5000","0.4000","360","Resistor, 1M, 0.1%, 0.0625W, 50V, 100PPM, 0402"
"R60","1M","TopLayer","0402","67.5000","1.5000","360","Resistor, 1M, 0.1%, 0.0625W, 50V, 100PPM, 0402"
"R61","1M","TopLayer","0402","67.5000","2.5000","360","Resistor, 1M, 0.1%, 0.0625W, 50V, 100PPM, 0402"
"R62","1M","TopLayer","0402","67.5000","4.5000","360","Resistor, 1M, 0.1%, 0.0625W, 50V, 100PPM, 0402"
"R63","100R","TopLayer","0603","59.0000","8.7000","180","Resistor, 100R, 1%, 0.063W, 50V, 200PPM, 0603"
"R66","1.5k","TopLayer","0402","67.5000","3.5000","360","Resistor, 1.5k, 0.1%, 0.0625W, 50V, 100PPM, 0402"
"C40","100nF","TopLayer","C0402","69.9000","-5.6000","180","Capacitor, 100nF, 25V, X7R"
"C41","100nF","TopLayer","C0402","69.9000","-4.6000","180","Capacitor, 100nF, 25V, X7R"
"R65","0R","TopLayer","0603","20.2000","13.8000","270","Resistor, 0R, 0.1%, 0.063W, 50V, 200PPM, 0603"
"C17","100nF","TopLayer","C0402","57.4000","-18.3000","90","Capacitor, 100nF, 25V, X7R"
